"filename", "language", "JSON with Comments", "JavaScript", "PostCSS", "Markdown", "Astro", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\obtenerUsuariosLogin.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\obtenerproductos.ts", "TypeScript", 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\api\validarUsuario.ts", "TypeScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 10, 53
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\gestion.astro", "Astro", 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\index.astro", "Astro", 0, 0, 0, 0, 141, 0, 0, 0, 0, 18, 159
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\login.astro", "Astro", 0, 0, 0, 0, 155, 0, 0, 0, 1, 23, 179
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\pages\logout.astro", "Astro", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\styles\global.css", "PostCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\src\styles\login.css", "PostCSS", 0, 0, 263, 0, 0, 0, 0, 0, 0, 46, 309
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\tests\validacion-addpaciente.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 12, 87
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\tests\validacion-adduser.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 68, 0, 0, 0, 18, 86
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\tests\validacion-productos.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 77, 0, 0, 0, 20, 97
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\tests\validaciones-login.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 45, 0, 0, 0, 8, 53
"c:\Users\walga\OneDrive\Escritorio\Optica\OpticaSoftware\tsconfig.json", "JSON with Comments", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"Total", "-", 5, 26, 264, 35, 3994, 1510, 413, 7957, 118, 729, 15051
